                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5045,                 2.0086,                 1.0544,                0.84113,                0.28954,                0.42613,                0.26028,                 1.4365,                 2.1693,                 1.0347,                0.00066,                0.00066,                0.00066
                      2,                 1.5471,                 1.4781,                 1.0747,                0.64875,                0.46595,                0.52083,                0.31074,                 1.3971,                 1.3058,                 1.0289,              0.0012391,              0.0012391,              0.0012391
                      3,                 1.5234,                 1.3012,                 1.0775,                0.73962,                 0.4813,                0.56304,                 0.3197,                 1.4345,                 1.1488,                 1.0528,              0.0017302,              0.0017302,              0.0017302
                      4,                 1.4771,                 1.1771,                 1.0665,                0.71961,                0.49678,                0.57216,                 0.3334,                 1.3629,                 1.1912,                   1.04,               0.001604,               0.001604,               0.001604
                      5,                 1.4717,                 1.1378,                 1.0571,                0.73531,                0.51635,                0.59211,                0.35027,                 1.3272,                 1.0174,                 1.0245,               0.001604,               0.001604,               0.001604
                      6,                 1.4838,                 1.1403,                  1.064,                0.73742,                0.50241,                0.57249,                0.34179,                 1.3538,                 1.0714,                 1.0341,               0.001472,               0.001472,               0.001472
                      7,                 1.4688,                 1.0608,                 1.0604,                0.69698,                0.54102,                0.59475,                 0.3467,                 1.3665,                0.97849,                 1.0424,                0.00134,                0.00134,                0.00134
                      8,                 1.4251,                 1.0337,                  1.039,                0.68829,                0.51099,                0.57995,                0.35375,                  1.326,                0.95084,                 1.0229,               0.001208,               0.001208,               0.001208
                      9,                 1.3871,                0.99601,                 1.0341,                0.75111,                 0.5067,                0.59732,                0.35776,                 1.3141,                0.95084,                 1.0148,               0.001076,               0.001076,               0.001076
                     10,                 1.3573,                0.96212,                 1.0273,                0.74411,                0.52232,                0.60659,                 0.3641,                 1.2985,                0.91308,                 1.0215,               0.000944,               0.000944,               0.000944
                     11,                  1.341,                0.93021,                 1.0105,                0.72666,                0.54023,                0.60755,                0.36839,                 1.2879,                0.91913,                 1.0164,               0.000812,               0.000812,               0.000812
                     12,                 1.3193,                0.91731,                 1.0112,                0.74937,                0.53547,                0.61821,                0.37484,                 1.2616,                0.87822,                 1.0053,                0.00068,                0.00068,                0.00068
                     13,                 1.2945,                0.87412,                0.99826,                0.76011,                0.52815,                0.61354,                0.38181,                 1.2381,                0.86367,                0.99617,               0.000548,               0.000548,               0.000548
                     14,                 1.2818,                0.86799,                0.99111,                0.78124,                0.53615,                0.62728,                  0.387,                 1.2238,                0.85313,                0.99497,               0.000416,               0.000416,               0.000416
                     15,                 1.2686,                0.85039,                0.98466,                0.76864,                0.55067,                 0.6276,                0.39304,                 1.2071,                 0.8258,                0.98791,               0.000284,               0.000284,               0.000284
