epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,422.856,1.53528,2.01516,1.06203,0.8838,0.28954,0.44879,0.27004,1.44053,2.06381,1.0229,0.00066,0.00066,0.00066
2,735.872,1.53089,1.45855,1.06326,0.64801,0.49705,0.54154,0.3129,1.41142,1.26913,1.03553,0.00123911,0.00123911,0.00123911
3,1049.01,1.53518,1.30113,1.07603,0.68577,0.49437,0.54586,0.32105,1.39603,1.1304,1.05062,0.00173021,0.00173021,0.00173021
4,1359.42,1.49541,1.17915,1.06479,0.71845,0.52761,0.58315,0.32901,1.38995,1.15763,1.03906,0.001604,0.001604,0.001604
5,1669.5,1.43714,1.0863,1.03573,0.7135,0.5244,0.58498,0.34662,1.33886,1.01954,1.02533,0.001472,0.001472,0.001472
6,1974.74,1.44853,1.09705,1.05366,0.75212,0.48365,0.56621,0.33684,1.38904,1.07191,1.046,0.00134,0.00134,0.00134
7,2280.53,1.42738,1.0391,1.03869,0.73563,0.50241,0.58174,0.34741,1.35265,0.97683,1.02903,0.001208,0.001208,0.001208
8,2585.06,1.39744,1.00851,1.03163,0.73311,0.52011,0.59701,0.3628,1.2983,0.95479,1.0181,0.001076,0.001076,0.001076
9,2889.92,1.38445,0.99668,1.02751,0.75128,0.5199,0.60113,0.36546,1.29217,0.9282,1.00567,0.000944,0.000944,0.000944
10,3195.33,1.34415,0.94941,1.00816,0.74633,0.5319,0.61097,0.36972,1.28444,0.92167,1.01426,0.000812,0.000812,0.000812
11,3499.82,1.32515,0.92078,1.00427,0.73926,0.53887,0.61649,0.37668,1.25468,0.88802,1.00124,0.00068,0.00068,0.00068
12,3806.51,1.29996,0.89861,1.00025,0.71118,0.56139,0.61773,0.38333,1.2388,0.85902,0.99123,0.000548,0.000548,0.000548
13,4111.51,1.27813,0.8762,0.98676,0.75854,0.53941,0.61867,0.38592,1.22292,0.8518,0.98818,0.000416,0.000416,0.000416
14,4420.32,1.26863,0.86165,0.98512,0.74554,0.55613,0.62682,0.39272,1.20458,0.84042,0.98416,0.000284,0.000284,0.000284
15,4724.44,1.24995,0.83911,0.9865,0.75553,0.55067,0.62822,0.39407,1.19514,0.81808,0.98097,0.000152,0.000152,0.000152
